===Table.A===
A.id,post_title,post_body,publication_time,comment_count
A-0,Stardrops taste like your favorite thing! What do they taste like to you?,,20 hr. ago,
A-1,Girlfriend discovered Stardew. How long until i get her back?,,19 days ago,
A-2,Holy massive melons (cat for scale),,50 min. ago,22
A-3,Fresh start optimized for mushroom logs instead of crops,,4 min. ago,1
A-4,4 Maple trees = A goblet,,5 days ago,205
A-5,can someone tell me what the door in haleys room lead to??,,6 hr. ago,
A-6,This made me happy,,1 hr. ago,5
A-7,Got my mom into Stardew in 2020. She just hit year 200,Achievement Get!,16 days ago,
A-8,This Pains me,,11 hr. ago,59
A-9,Haley shines in the sunlight~,,4 days ago,
A-10,Stardew Valley/Pelican Town faces a zombie apocalypse ala Resident Evil~ What are the fates of each citizen? Who is surviving?,,15 hr. ago,345
A-11,Do games like Stardew help your mental health? (Grad survey),https://www.surveymonkey.com/r/6RVBTLS,13 min. ago,0
A-12,"Hi, long time no see! Here's Robin.",,21 days ago,
A-13,Year 5 and still dealing with this racoon!!,,14 hr. ago,56
A-14,Name a Stardew character who suffered more than Maru's design and fail miserably.,,7 days ago,655
A-15,Happy Egg Hunting,,7 hr. ago,3
A-16,Drew sandy a while back and was told to put it here too!,,3 hr. ago,
A-17,Why do i keep getting sap and not resin?,,7 days ago,238
A-18,Apparently…,Apparently I was in Willy’s way when he wanted to go to his fishing spot 😭,15 hr. ago,58
A-19,I met CA as Penny at the Honolulu concert!,,15 days ago,124

===Table.B===
A.ref,comment_text,comment_time,commenter
A-0,"**Overall plan looks like so:**
* upgrade axe to copper ASAP, even before pickaxe
* use the chair to go into secret woods every day (and/or use hardwood stumps on Forest and 4-corners farm)
* gather hardwood and plant mahogany seeds on your farm with a bit extra spread to them with clear ground around them
* let the mahogany grow and start dropping additional mahogany seeds
You want 300+ hardwood going into summer and 10-20 mahogany trees growing. Level 5 forester instead of gatherer can be better here as well.
For wild tree seeds:
* upgrade axe to steel
  + cut down every tree in the forest, mountains
  + cut down non-pine trees on your farm
* collect pine cones dropped by pine tree on your farm
* early summer start full-clearing your farm and start planting a grid of wild trees (you want a lot of pines for mushroom logs)
* cut down any regrown trees before green rain, after green rain and later on as needed.
**Tree fertilizer** can be handy on mahogany trees, but when used on any tree it makes them grow moss quicker as well, so bonus points for using tree fertilizer on every pine tree you plant.
**Green rain** will hit somewhere in summer and your goal is to purely go for moss - farm every weed and moss in the forest and open areas of your farm and other zones. You should get bit over 300 moss or 400 if you are on beach farm and it's mostly cleared before rain.
300 moss then gives you 30 logs which can produce around 1050 mushrooms per season. After green rain moss harvesting will be slow, but the more trees you will have the more moss you will be able to farm regularly so a mushroom log farm is a positive loop setup ;)
**Dehydrators** tip - get the crystalarium from the 25k bundle and put a fire quartz in it, it will duplicate one every 24h allowing you to quickly ramp dehydrators.
**Green raid mossy seeds** - green rain will give you few seeds. You can plant them on your farm in-between your pine trees and make them grow moss even faster. Just replant the seed if you get the green-ish fern tree when planted.
**Fun names**: Trufflestein, Shroomster, Toadstool...",5m ago,riklaunim
A-0,huh. i don’t know what to do with this knowledge.,5d ago,After_Cell_5570
A-0,Plant 4 maple trees,5d ago,con098
A-0,"I plant four trees in the morning, I plant four trees at night.
I plant four trees in the afternoon, it makes me feel alright.
I plant four trees in time of peace, and four in time of war.
I plant four trees before I plant four trees, and then I plant four more.",5d ago,13143
A-0,Maple or orange trees?,5d ago,PheonixWolf88
A-0,"I HATE YOU I HATE YOU I HATE YOU
(can't believe I fell for it)",5d ago,Deep_Try_5786
A-0,I was excited :( it would actually be a cool Easter egg if all the trees had a different something they formed.,5d ago,MrTheDoctors
A-0,"How does it look if you put down one crystal flooring tile to fill in just the colour of the goblet?
Edit : I tried it but mine ended up looking like Sherlock Holmes. If anyone knows what I did wrong I'd like to hear it.",5d ago • Edited 5d ago,Occidentally20
A-0,"I spent too much time trying to figure out if you made the same farmer just to take a screen shot before I remembered the date. In my defense, I really should be asleep.",5d ago,CWMJet
A-0,"The date is a coincidence, this is how I normally amuse myself on here :)",5d ago,Occidentally20
A-0,I got sherlock too,5d ago,Pleasant-Oil-3298
A-0,Elementary.,5d ago,Occidentally20
A-0,"You probably forgot to hold the magnifying glass from the winter mystery quest while placing it down. elementary mistake, my dear farmer.",5d ago,Single_Habit4856
A-0,Did you check your calendar today? it’s spring 1st irl. the shadow people are just messing with your farm layout.,5d ago,Dear_Letterhead_1623
A-0,"Oh!
I told myself this morning not to believe what I see on socials today, and that immediately went out the window. Well played!
edit: 2 words for clarification",5d ago • Edited 5d ago,sunsunpup
A-0,"…you might want to edit another word for clarification.
*We’ll, we’ll, we’ll…*",5d ago,mrsyanke
A-0,Mine came out looking like the shape of ConcernedApe's mascot's head! I think my trees might be sick or something.,5d ago,mynamesdaisy
A-0,Well how else am I supposed to drink my syrup? 🇨🇦,5d ago,CharlotteLucasOP
A-0,"My friend and I, both Canadian, have been playing coop (it's her first playthrough, and my first playthrough since the 1.6 update).
Only in the context of Stardew, would one Canadian ask another Canadian ""Do we have any maple syrup?"" and receive an answer of ""No, we don't""
We have brought shame to our nationality :(",5d ago,CursedBlackCat
A-0,Goblet.,5d ago,RostyMcRosty
A-0,Goblet.,5d ago,Louspec
A-0,Holy fuck,5d ago,Global_Algae_538
A-0,my maple tree outline could kick your maple tree outline’s butt.,5d ago,spudyoulike
A-0,*Dan Brown would like to know your location*,5d ago,Gaydream_believer
A-0,You have found the holy grail!,5d ago,EveningMountainMist
A-0,"Sis, what if this is the secret visual thing CA said people still didn’t discover?
You got me good for a few too many beats.",5d ago,starlight_chaser
A-0,"Im impressed that you only have copper tools, but 975 pizzas. Priorities",4h ago,Kajseren
A-0,im too busy tending the farm to upgrade them tools lol also i havent unleckoed the mines yet,3h ago,N_ikola_f
A-0,"What do you mean you haven't unlocked the mines? They become available Spring 5, Year 1.",2h ago,canineatheart
A-0,How!?,2h ago,The_Hylian_Queen
A-0,Upgrading them tools will make you spend less time tending the farm,1h ago,TellTaleReaper
A-0,I’m obsessed with the fabric in the background of your picture!,5h ago,AdultDisneyWoman
A-0,aww ty i bought the sheets in a local polish store,5h ago,N_ikola_f
A-0,975 pizzas is crazy work,3h ago,Miningayyy
A-0,im a hungry gal alr,2h ago,N_ikola_f
A-0,"Can confirm, leads to Haley's Backroom
Source: Marry Haley every playthrough",4h ago,Pure1nsanity
A-0,It's the smoochey smoochey room,6h ago,sock-bucket
A-0,"**Farmer**: [*Leans in and kisses Haley*]  
**Krobus**: ""Oh my, Farmer. I had no idea""  
**Haley**: ""Wait, what? Who is that?!""",2h ago,beavernator
A-0,it's for her 10-heart event after you date her. it's her dark room for photo developing       where she wants you to kiss her,6h ago,kmasco92
A-0,That makes sense why only someone she would trust would be allowed in there,5h ago,EmberReads
A-0,Her dark room. She's a photographer.,5h ago,Evil_Black_Swan
A-0,"It's only used for a cutscene, specifically her 8 heart event if I remember correctly",6h ago,nvclaas
A-0,10,6h ago,stuupidsteve
A-0,"Sorry, it's been a while",4h ago,nvclaas
A-0,the best day of your life,6h ago,Necessary-Gur7321
A-0,Her red room,6h ago,Montgreg
A-0,REDRUM?,6h ago,PsychologicalFault
A-0,Black leather and so much rope.,6h ago,ClankerCore
A-0,"Camera room, shes into photography",3h ago,Suitable-Cup-5228
A-0,The only bathroom in the whole valley,3h ago,1saylor1
A-0,Awww cuties!,1h ago,anxious_meatball
A-0,"Is it just me, or do pixelated pets have way more personality than real ones?",1h ago,PurrNibble
A-0,Do you have pets? Or have u met pets? 😅,39m ago,Pixie_the_Fairy
A-0,They're having nap time with the plushie! 🥺❤,18m ago,slothesaurus
A-0,How can I get that dog plushie in game?,9m ago,block0055
A-0,did you tell her mastery is a thing now?,16d ago,SurroundTemporary389
A-0,Nah. I let her live her life. She hates fishing.,16d ago,squeakysqueakysqueak
A-0,How much money does she have?!?!,16d ago,Mehmeh111111
A-0,"Honestly, at Year 200, if she walks into that secret cave, Grandpa’s ghost is gonna be the one asking her for a farm evaluation.",16d ago,Clean_Woodpecker3139
A-0,Oh that’s OUR mom now,16d ago,Catstatsnhats
A-0,She would love to be motherly to all of you!,16d ago,squeakysqueakysqueak
A-0,I showed my mum stardew quite a few years ago. It took about a month to realise that I was infact shit at the game and she has some weird mum hacks to being ungodly successful at the game.,16d ago,LilCakey81
A-0,Mums unite!,16d ago,squeakysqueakysqueak
A-0,i’m curious to see her farm!!,16d ago,chanelfurball
A-0,She sent me a few screen shots,16d ago,squeakysqueakysqueak
A-0,What’s her playtime hours?,16d ago,syndicaterx
A-0,"6,810 hours",16d ago,squeakysqueakysqueak
A-0,"I love this, Stardew Valley is truly purgatory now.",16d ago,softtiger
A-0,Oh I didn’t even think about it like that till now🤣,16d ago,DrFlatwoods
A-0,"Or the Hotel California
""You can check out any time you like but you can never leave.""",16d ago,Yotato5
A-0,"I don’t think purgatory… wasn’t the ancient Egyptian depiction of the afterlife a huge wheat field you would tend for eternity?
…Maybe purgatory",16d ago,Noduos
A-0,"If you find yourself alone, riding in the green fields with the sun on your face, do not be troubled. For you are in Elysium, and you’re already dead!",16d ago,wrscbt
A-0,She has her priorities,16d ago,Alyriaxxonly
A-0,Instantly this came to my mind 😂,16d ago,Intelligent-Creme-15
A-0,"Oh uh, I saw the mermaid lady n I thought this post was u lamenting ab not being able to marry her or sum so I was about to be like ""Saaame""",11h ago,SmeXy-midgett
A-0,HONESTLY I WOULD MARRY HER 😭😭😭,11h ago,Mobile-Caramel1892
A-0,I wiah there was a mermaid NPC we could marry!,10h ago,Deya_The_Fateless
A-0,SAAAMES😝,11h ago,SmeXy-midgett
A-0,Mermaid x Farmer next update plsssss i want to marry her tooo😭,10h ago,InternationalTell835
A-0,Harvest Moon flashbacks 😭,10h ago,Unhappy_View8413
A-0,It's a NEED✊🏾😔,10h ago,SmeXy-midgett
A-0,Bro fr 😭 CA letting us have krobus as a literal shadow roommate but making the mermaid completely untouchable is the real tragedy of this game. let me build a giant salt water tank in my living room u coward,6h ago,Ok-Bee-284
A-0,Valid point but imagine u finally get to date her n her 14-heart event is just her silently judging u while u desperately try to reach that stupid panning spot for 3 in-game hours straight 💀,5h ago,Muted-Sprinkles-6850
A-0,Is the panning spot in the room with us?,9h ago,AnEverydayPileOfCats
A-0,Pain!,9h ago,Mobile-Caramel1892
A-0,"in my experience, even afar you can pan it in the coast at some point if you try it.",9h ago,mxmaker
A-0,why is everything so smooth 😟 it looks scary!,11h ago,Pretty_Purchase3736
A-0,Clear glasses mod probably,11h ago,iDdiscovered
A-0,"not to point a finger at someone's mod choices, but man.....",10h ago,Technobrutale
A-0,"I mean, based on how panning usually goes you weren't gonna get anything worthwhile from it anyway.",10h ago,Jindo5
A-0,If you upgrade your pan it can be pretty decent sometimes,10h ago,He_Beard
A-0,Omg I didnt even know,10h ago,No_Housing_1287
A-0,I used to think this but on my latest run I’ve panned every spot I see and I’ve been getting VERY good stuff. 3 lucky rings and hundreds of iridium ores. Currently Winter Y2.,8h ago,donnapinciottii
A-0,Use a dinglehopper,11h ago,Ragna_Blade
A-0,Why is there a fairy over your head?,10h ago,saanenk
A-0,End game item you unlock through the cave of mastery in the forest.,10h ago,inuyashee
A-0,HEY! LISTEN! HEY!! LISTEN!!,10h ago,Any-Quiet7193
A-0,Your stardew looks like a painting,10h ago,moondustow
A-0,I feel like I need a high-powered telescope to find the spot in question.,8h ago,bchagan
A-0,Wow! The 3D effect on this is spectacular! It's really cool to see a pixel art version of her full body matching her portrait as well. Well done! 😊,4d ago,Wyrmspike
A-0,Comment removed by moderator,4d ago,[deleted]
A-0,Its good art,4d ago,Neither_Strategy3669
A-0,"Hey OP this is actually insane. This would be so difficult just to DRAW. And you did it out of Perler beads???
I’m like speechless",4d ago,ominaze_
A-0,Is that what these are called? Perler beads? Are those the ones you iron? I want to start doing this looks so neat!!!,4d ago,biblioteca4ants
A-0,"THIS IS ABSOLUTELY AMAZING… would haley accept this botched pink cake I recently made? :,)",4d ago,badaddio
A-0,This is beautiful! I see no reason why not as she loves pink cake. I like to imagine when you first start cooking and baking they still accept it anyways even if it’s not the best as it is their favorite gift to receive.,4d ago,Musicfromcoc
A-0,WHAt. That's so cool. Mine's just this simple.,4d ago,simplyy_cherryy
A-0,"Still took effort, I like it!",4d ago,IsabelleLight
A-0,Love it!!,4d ago,anitathephoenix
A-0,Yeaa I forgot what I was Crushing on....,4d ago,Eadigi
A-0,"Oh yeah so when I try and draw this perspective it's shit.
But when you (a talented artist) do it on an infinitly harder format and excellently nail it.
Good job. I am jealous.",4d ago,One-Strength-8265
A-0,Dang I went to go look at OPs profile and it says banned,4d ago,Bajileh
A-0,Peak,4d ago,Palu_Tiddy
A-0,Holy shit this is insane! What an amazing job!,4d ago,rigab
A-0,The shaping on that dress and the texture and the colors and - I'm overwhelmed. Wow.,4d ago,mylitteprince
A-0,A gem just dropped and the account is banned. Guess were not seeing the other Bachelorettes (T_T)/,4d ago,jvyrdn024
A-0,That's gorgeous,4d ago,Ms_Anonymous123
A-0,i can’t comprehend how you did this it’s so COOL !!!!!,4d ago,berry_crescent
A-0,Wait hold up did OP get banned for this?,4d ago,sylvar
A-0,"THE highlights. LOOK AT THE FREAKING HIGHLIGHTS
Amazing work ✨✨",4d ago,No_More_Aioli_Sorry
A-0,That’s insane! Can we see the original art piece?,4d ago,NighthawkE3
A-0,Looks like a mix of Haley with Blonde Blazer from Dispatch :),4d ago,The-Real-Metzli
A-0,OMG that’s beautiful!,4d ago,insertcaffeine
A-0,"The wizard, dwarf, and krobus would fare well",15h ago,NeedleworkerCivil984
A-0,I feel like Marlon would survive too and maybe Clint because he seems to have some weapons in the blacksmith,15h ago,Lvl1Gyatt
A-0,"Clint would be the tragic figure who *could* survive with his equipment and abilities (like... He's a smith, the guy most likely has a decent amount of strength), but he will die either because he tries to save Emily... Or because Emily gets infected, he can't bear it and let's her bite him willingly.",14h ago,Afrista
A-0,"I mean, Clint does have a job... And a beard.",14h ago,weed_blazepot
A-0,I have a feeling Linus would too. He'd hide out in the wild and help the survivors navigate to safety.,14h ago,corkscrewfork
A-0,"Krobus would be the first casualty. A lot of RE outbreaks thrive in the sewers.
Survivors would go down there and find a gigantic Krobus monster hanging out in the water.",14h ago,ZandyTheAxiom
A-0,"George will go out in a blaze of glory, that's for sure",15h ago,100_xp
A-0,Thats my goat right there,14h ago,Sheep_guy360
A-0,One last use for the dynamite,14h ago,DancingIBear
A-0,Demetrius would die first if Hollywood horror is anything to go on.,15h ago,m1kesanders
A-0,"Hell, he might even be Patient 0 due to a science experiment or some shit.",14h ago,Jindo5
A-0,"If we're going by *Resident Evil* rules, he's doomed to become a giant screaming mass of eyes and teeth.
You know, that thing that just happens to scientists.",14h ago,ZandyTheAxiom
A-0,"Pam. hear me out! typical Pam has drank herself into passing out cold, flat on her face. she’s out cold for hours and the zombies pass her lifeless body.",15h ago (edited 11h ago),malonesxfamousxchili
A-0,Pam will show up at a pivotal moment and run over a horde of zombies with the bus so the other villagers can escape.,14h ago,CRtwenty
A-0,Idk about anyones fate but Joja Corp 1000% made the virus,14h ago,FemboyViking
A-0,"Shane will survive purely because all the other zombies mistake his tired face as being one of them and will leave him alone. Alex would tragically die first after doing an ""awesome kung-fu move"" that he saw on TV to take down the zombie horde.",15h ago,All_copacetic_here
A-0,"I’d think Shane would be one of the first to go. There would be reports of zombies and he wouldn’t believe it. Goes out the sewer drainage one night with a six pack. Gets drunk and gets into an argument thinking it’s someone from the City. Classic movie trope.
Edit: grammar",15h ago (edited 14h ago),grandfatherclause
A-0,"Pierre is one of those people that die trying to carry out all of his money.
Willy takes all the people he can on the boat, but most certainly the kids first.",15h ago,TeacupOni
A-0,Pierre is the guy that gets bit and doesn't tell anyone.,14h ago,Horror_Fox_7144
A-0,"I have a weird vision of Abigail, Marnie, and Jas huddled together in Leah's cabin while Leah effortlessly hauls big wooden sculptures in front of the door and windows to keep them all safe, and in the early morning Leah and Abigail take turns foraging and salvaging what they can from the ranch, looking for Shane.",15h ago,Xecluriab
A-0,"sebastian survives but only because his basement acts as a pseudo–bunker. he doesn’t even clock the ongoing zombie apocalypse until he heads out for a late night smoke. even then it might take him a day or three given how secluded the mountain lake is and his general disinterested disposition
evelyn and george (and dusty, oof) get got early. alex sacrifices himself to save haley—everyone presumes it’s unadulterated heroism but truthfully, now his entire family is well and truly dead, he doesn’t have it in him to fight. if he can save someone on his way out? that’s a win–win",14h ago (edited 2h ago),accidentallyamber
A-0,The zombies can’t get to Sebastian because they’re not good enough friends with him to go into his room.,14h ago,Herbdontana
A-0,"Maru dies early, after getting bit by Evelyn, who is patient 0 of the outbreak and ends up at the clinic. Harvey is wracked by survivors guilt because he wasn't at the clinic (it was a Tuesday)",15h ago,Marsdreamer
A-0,harvey while everyone in pelican town is being ravished by the undead:,13h ago,corpsecutie
A-0,Emily. Seriously I think she could force them into thriller dancing. Abigail also one shots wilderness golems,14h ago,ogreofzen
A-0,Done! 😄,8m ago,ImaginaryAd5855
A-0,Love the details! Is the heart in the background of teenager Robin supposed to be for Jodie and Kent?,21d ago,emilyrose95
A-0,"Yes, that's Jodie + Kent :)",21d ago,MK_DrawsSometimes
A-0,Jeorge + Klint,21d ago,Latranis
A-0,I got water on my keyboard man 😭,21d ago,preteen-wartortle
A-0,Is that Linus in the background haha. (Love the art btw),21d ago,FadedSatyr
A-0,"Yes! It's a reference to the first entry in this series of fanarts, wich was about Linus",21d ago,MK_DrawsSometimes
A-0,[Linus] was [Ford Pines]?,21d ago,GWindborn
A-0,I love how his leaves age as he does! Great detail.,21d ago,Grimblehawk
A-0,Before his leaves turned!,21d ago,JulieChensHairpin
A-0,Something so funny about [Sebastian] being 1-3 in that pic and looking 10 years old at the very least,21d ago,No_Character_2681
A-0,"Let's just imagine that he's standing on a stool, ah ah",21d ago,MK_DrawsSometimes
A-0,Young Demetrius in the back of 17… so sweet.,21d ago,ScribeVallincourt
A-0,And young Linus in the back of 25.,21d ago,Phunkie_Junkie
A-0,"Reminds me of a couple of my friends. Knew each other in high school. She married someone else. Abusive relationship so she left that guy. Few years later marries her now husband and it's good.
Neither of them admitted back then but I know she liked him in high school but she didn't act on it at the time.",21d ago,dre5922
A-0,"I adore the little details you added in each panel, this is incredibly cool!",21d ago,peskypsittacine
A-0,"Hi Robin, I hope you’re ready for me to run to you, realize I needed hardwood, run back home, realize you closed, come back the next day, ask you to build something, then realize I had a rock spawn on the build site overnight, run back home, get distracted, come back the next day, realize I accidentally sold the 999 stack of stone, go back home, get more stone, and then have you build something for me!
Then ask your daughter out.
(Demetrius might be right about not trusting me at first.)",21d ago,Apoordm
A-0,[Demetrius] watching you do all of this and taking meticulous notes on how many squirrels you got distracted by in a day. Because he’s a scientist and data points are important.,21d ago,TheWorclown
A-0,"Demetrius to Maru
“Look I know you like him honey but I just watched him drink an entire jar of [void mayonnaise]…”",21d ago,Apoordm
A-0,"i love this and all the small details, like robin’s frog necklace. that’s where seb gets his love for frogs! (or at least that’s what i’m choosing to believe lol)",21d ago,mettaverse12
A-0,god i need to know so bad what the heck happened to sebs' dad 😫😫,21d ago,aliensuperstars_
A-0,"Gets married (not to you)
lmfao
Also love the smile Demetrius gives her with the cheek smooch",21d ago,Yotato5
A-0,"should have also said
""Second Marriage (Still not to you)""",21d ago,LooneyMarauder
A-0,Awww young Linus in the background of slide 4 🩷,21d ago,thisaverageamerican
A-0,I love your take on teen Robin!! Like Mother like Son.,21d ago,lolpersephone
A-0,"What are you having trouble with? He just asks for food, all things you can cook I believe.",14h ago,CrookedNoseRadio
A-0,For some of the things it can take a while to be able to get. I'm currently stuck on getting the trash bear tropical curry because I don't have the recipe yet.,14h ago,billowy_blue
A-0,"Honestly, that and Poi are one of the hardest ones
I had the resort extremely early on and it still took forever to get it.",9h ago,NeighBae
A-0,For me he asked for a fish 2 times.,8h ago,sehuce
